Reduction,Classifier,Accuracy,Accuracy_std,F1,F1_std,Macro_F1,MacroF1_std
PCA,Random Forest,0.6035627625926451,0.01174926397241624,0.5323474875721375,0.017143364425603918,0.5940651929905023,0.012322195159242212
PCA,SVM,0.6026896568002643,0.015616992466095657,0.565604044629661,0.019155801384818764,0.5996387247447182,0.0157358345678376
PCA,Decision Tree,0.5392281546523155,0.009952057528861562,0.5228299859255138,0.013812192322998747,0.5386370990471578,0.010116107013983217
t-SNE,Random Forest,0.5587867629703064,0.0211043457483761,0.5318106522288527,0.022366028249271072,0.5572860107453963,0.021143001435635144
t-SNE,SVM,0.5383633102015768,0.015016587145774661,0.48525561455832406,0.023452075410872915,0.532579229814256,0.013302775248034911
t-SNE,Decision Tree,0.5568318934995043,0.019659052062614608,0.5450210383586753,0.025472099409903363,0.5563547818209612,0.019967959357671535
