Classifier,Accuracy,Accuracy_std,F1,F1_std,Macro_F1,MacroF1_std
Random Forest,0.6270381910022188,0.01085661301477118,0.5052033107990721,0.024887464165516942,0.6028746965564891,0.014670618756568032
SVM,0.6437718925553509,0.007015126292259497,0.560958517215439,0.010615194207664791,0.6304888883445084,0.006178222928074044
Decision Tree,0.6194304395033753,0.00800324163248767,0.4904986887882302,0.023298665477830445,0.5932643054571661,0.01217310662367123
