nr_topics,actual_topics,coherence
2,1,
3,2,0.4243204490712147
4,3,0.38326394886664655
5,4,0.3951000662925509
6,5,0.4721892302876894
7,6,0.40452933927787527
8,7,0.43110243018298844
9,8,0.36722593792986974
10,9,0.36904641424775636
