Classifier,Accuracy,Accuracy_std,F1,F1_std,Macro_F1,MacroF1_std
Random Forest,0.640728650332814,0.006873531017377368,0.5691023040598229,0.011381557881774636,0.6305038444833257,0.007781448607458778
SVM,0.6772477930415899,0.009416046082056113,0.6483538671623686,0.009760655742504832,0.6750322390745471,0.009345642236875423
Decision Tree,0.5498850493320115,0.013261912445934,0.5404443644069696,0.0136566287230771,0.5496079216613952,0.013291272960030893
